SOC_2020_ext,SOC2020_ext_SUG_title,INDEXOCC_-_natural_word_order
5231/99,"Vehicle technicians, mechanics and electricians n.e.c.",Diesel engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Diesel engineer
5231/99,"Vehicle technicians, mechanics and electricians n.e.c.",Diesel engineer
3311/99,Non-commissioned officers and other ranks n.e.c.,Bomb disposal engineer
5214/00,Pipe fitters,Gas distribution engineer
3113/99,Engineering technicians n.e.c.,High voltage distribution engineer
2123/02,Power systems engineers,Distribution engineer
3113/99,Engineering technicians n.e.c.,Distribution engineer
2123/02,Power systems engineers,District engineer
2121/01,Building and building services engineers,District engineer
5223/99,Metal working production and maintenance fitters n.e.c.,District engineer
2121/99,Civil engineers n.e.c.,Dock engineer
2121/99,Civil engineers n.e.c.,Docks engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Dockyard engineer
9223/01,Commercial cleaners,Domestic engineer
5246/00,Electrical service and maintenance mechanics and repairers,Domestic engineer
5315/00,Plumbers and heating and ventilation installers and repairers,Domestic engineer
9223/02,Private house cleaners,Domestic engineer
2121/06,Water engineers (professional),Drainage engineer
8159/07,Drainage operatives,Drainage engineer
2121/06,Water engineers (professional),Dredger engineer
8232/00,Marine and waterways transport operatives,Dredger engineer
2121/03,Mining engineers ,Drilling engineer
2129/05,Energy engineers ,Energy efficiency engineer
2123/99,Electrical engineers n.e.c.,Area electrical engineer
5241/03,Installation and maintenance electricians,Assistant electrical engineer
5231/01,Auto electricians,Auto electrical engineer
2123/02,Power systems engineers,Assistant charge electrical engineer
}}}}/}},}}}}/}},Chartered electrical engineer
2123/99,Electrical engineers n.e.c.,Chief electrical engineer
5250/00,"Skilled metal, electrical and electronic trades supervisors",Colliery electrical engineer
2123/99,Electrical engineers n.e.c.,Group electrical engineer
2123/99,Electrical engineers n.e.c.,Head electrical engineer
5246/00,Electrical service and maintenance mechanics and repairers,Maintenance electrical engineer
2123/99,Electrical engineers n.e.c.,Senior electrical engineer
